iter	Logloss
0	0.6761771696
1	0.6595724325
2	0.6438681587
3	0.6299437722
4	0.616490968
5	0.6041502999
6	0.5925888882
7	0.5820962288
8	0.572990557
9	0.5644055065
10	0.5561314192
11	0.5478723478
12	0.5405313698
13	0.5333623527
14	0.5270745564
15	0.5209135861
16	0.5151891199
17	0.5100472802
18	0.5049545005
19	0.5008537288
20	0.4970414489
21	0.4932523998
22	0.4894316244
23	0.4858017933
24	0.4825815999
25	0.4793111687
26	0.4761912067
27	0.473689562
28	0.471061244
29	0.4685329848
30	0.466600938
31	0.4641927842
32	0.4619659545
33	0.4601780497
34	0.4583870722
35	0.4566391694
36	0.4549206492
37	0.4532518699
38	0.4519152117
39	0.4505190491
40	0.4492863289
41	0.4479966746
42	0.4465037515
43	0.4455035205
44	0.4445982474
45	0.4435638868
46	0.4425815996
47	0.4416289833
48	0.4407448308
49	0.4399791796
50	0.439156631
51	0.4383895591
52	0.4377792336
53	0.4369999865
54	0.4364221163
55	0.4355656618
56	0.4349252285
57	0.4342414696
58	0.4335782196
59	0.4330039713
60	0.4324786376
61	0.4320354587
62	0.4315788397
63	0.4310495269
64	0.4306953333
65	0.4302776175
66	0.4297670036
67	0.4291863446
68	0.4287826607
69	0.4284212154
70	0.4279972762
71	0.4274843881
72	0.4271808952
73	0.4267594345
74	0.4263421831
75	0.4259203869
76	0.4256115164
77	0.4253012325
78	0.4249709743
79	0.4246874162
80	0.4243264433
81	0.4240195219
82	0.4236059467
83	0.4232567438
84	0.4230415868
85	0.422764084
86	0.4224995702
87	0.4222939518
88	0.4221320242
89	0.4219134749
90	0.4216409116
91	0.4214317146
92	0.4212733112
93	0.421041561
94	0.4207903296
95	0.4206451284
96	0.4204069382
97	0.4202499562
98	0.4201479778
99	0.4199338558
100	0.4196772805
101	0.4195113763
102	0.4193408808
103	0.4190476837
104	0.4188685647
105	0.418692517
106	0.418515617
107	0.418376427
108	0.4181865771
109	0.4180379204
110	0.4178919968
111	0.4176418354
112	0.4174587931
113	0.4172744978
114	0.4170680478
115	0.4169303552
116	0.4167641399
117	0.4165537352
118	0.4163936213
119	0.4162261913
120	0.4160801418
121	0.4158353942
122	0.4156633046
123	0.415518171
124	0.4153398228
125	0.4152657268
126	0.4150847156
127	0.4149746341
128	0.4148315947
129	0.4146607722
130	0.414565439
